pitch_name,whiff_percent,k_percent
4-Seamer,23.3,25.7
4-Seamer,23.6,15.8
Changeup,45.5,43.6
4-Seamer,27.4,21.8
4-Seamer,28.9,25.7
Sinker,15.3,13.9
4-Seamer,8.4,14.9
Sinker,13.9,18.8
Changeup,21.6,22
Sinker,13.4,18
Slider,28.4,22
4-Seamer,21.1,22.2
Slider,52.8,57.6
Slider,41.6,34.3
Slider,29.2,23.5
Sinker,14,4.1
4-Seamer,20.2,17.3
Changeup,32.8,27.6
4-Seamer,32.4,29.6
Changeup,25.1,21.4
Sinker,11.5,11.2
4-Seamer,12.3,13.3
Slider,35.3,34.7
4-Seamer,32.2,26.8
Slider,23.2,21.6
Slider,30.3,23.7
4-Seamer,19.4,18.6
4-Seamer,23.4,30.9
4-Seamer,25.3,25.8
Slider,31.6,32
Curveball,30.2,25.8
Slider,27.3,24
Sinker,19.4,14.6
Changeup,27.1,16.7
4-Seamer,13.3,4.2
4-Seamer,25.3,23.2
Changeup,36.6,32.6
Sinker,18.4,18.9
Slider,31.4,25.3
Sinker,19.1,14.7
4-Seamer,21.1,17.9
4-Seamer,10.8,12.6
Sinker,7.2,3.2
4-Seamer,18.9,22.3
4-Seamer,26.2,25.5
Cutter,16.8,10.6
4-Seamer,24.6,29.8
Changeup,30.1,30.9
Curveball,28.6,35.1
Cutter,25,20.2
Sinker,15.2,11.7
4-Seamer,23.1,17.2
Changeup,18.4,14
Slider,30,29
4-Seamer,26,20.4
4-Seamer,22.7,36.6
Cutter,23.2,12.9
Curveball,27.6,26.9
Sinker,21.2,25.8
Slider,42.3,45.7
4-Seamer,40.1,46.7
Sinker,11.6,5.4
4-Seamer,13.6,10.9
Sinker,13.4,12
4-Seamer,22.3,17.6
Slider,29.2,22
Sinker,13.4,5.5
4-Seamer,21.4,23.1
Changeup,40.8,12.1
Slider,37.4,22.2
4-Seamer,28.2,33.3
Slider,32.8,34.4
Slider,41,33.3
Slider,33.9,24.4
Curveball,15.8,8.9
Cutter,29,35.6
4-Seamer,12.6,11.2
4-Seamer,23.7,23.6
4-Seamer,16.3,14.6
Changeup,26.4,22.5
4-Seamer,29.4,25.8
4-Seamer,24.9,19.1
Cutter,27.8,11.2
4-Seamer,13.2,9.1
4-Seamer,15.9,17
Slider,39.9,35.2
Curveball,42.6,42
Cutter,19,14.9
Slider,26.4,24.1
4-Seamer,16,19.5
4-Seamer,33.3,29.9
Slider,39.6,33.3
Slider,20.7,17.2
Curveball,37.7,41.9
Slider,38.4,32.6
4-Seamer,19.5,17.4
Curveball,32.6,31.4
4-Seamer,28.9,26.7
Slider,50.7,51.2
4-Seamer,18.2,9.4
4-Seamer,33.1,36.5
Slider,25.9,15.3
4-Seamer,16.7,11.8
Slider,48.3,44.7
4-Seamer,26.6,32.1
4-Seamer,28.9,21.4
Slider,25.2,23.8
4-Seamer,23.7,15.5
Sinker,13.7,13.1
Changeup,48.8,41.7
Cutter,24.6,12
Changeup,27.6,20.5
4-Seamer,25.7,31.3
Sinker,11.9,4.8
4-Seamer,25.8,22.9
Sinker,17.4,15.7
Changeup,20.9,10.8
4-Seamer,7.5,3.6
Slider,38,34.1
Cutter,21.5,17.1
Cutter,22.1,25.6
Slider,23.2,19.5
Slider,34,24.4
Changeup,32.7,30.5
Changeup,29.8,18.3
Slider,36,25.6
4-Seamer,23.7,29.6
Sinker,33.3,38.3
Changeup,31.9,29.6
Slider,35,47.5
Sinker,8.8,11.3
Changeup,30.8,20
Slider,31.5,20
Slider,31.2,22.5
Slider,33.1,28.7
Sinker,11,21.3
Sinker,11.4,16.3
Cutter,20.7,23.8
4-Seamer,27,27.8
Slider,35.2,34.2
Slider,40.9,35.4
Sinker,20.4,21.5
Slider,39.4,44.3
4-Seamer,21.3,26.6
Sinker,11.4,11.4
Cutter,22,19.2
Cutter,24.3,17.9
Sinker,14.1,14.1
Changeup,30.8,21.8
Curveball,45.4,53.8
4-Seamer,30.4,44.9
Sinker,14.5,10.4
4-Seamer,11.8,15.6
4-Seamer,24.9,28.6
4-Seamer,12,6.5
4-Seamer,31.2,39
Slider,32.8,28.6
Sinker,11.1,6.5
Slider,34.3,31.2
4-Seamer,14.3,14.3
Sinker,15,14.5
Sinker,16.3,13.2
Slider,16,11.8
4-Seamer,29.2,38.2
Slider,42.1,34.2
Sinker,13.1,13.2
Slider,43.8,38.2
Curveball,19.6,19.7
Sinker,12.3,15.8
4-Seamer,25.7,22.4
Changeup,26.7,13.2
Changeup,32,18.4
4-Seamer,32.5,30.3
4-Seamer,13.1,6.7
Curveball,26.5,30.7
4-Seamer,13.3,5.3
Slider,40.1,37.3
4-Seamer,27.6,26.7
Cutter,26.1,30.7
Changeup,40.6,28
Slider,38.6,33.3
4-Seamer,21.1,14.7
Slider,40,50.7
4-Seamer,20.5,29.3
Sinker,14.9,16.2
Slider,30.1,21.6
Sinker,11.1,16.2
4-Seamer,24.1,29.7
Curveball,47.4,50
Sinker,18.4,14.9
Sinker,3.9,8.1
4-Seamer,25.4,37.8
Curveball,33.6,35.1
Sinker,24.8,25.7
Slider,35.7,28.8
Changeup,24.8,26
Sinker,5.5,8.2
4-Seamer,28,28.8
Sinker,16.4,11
Splitter,41,38.4
Curveball,30.6,38.4
4-Seamer,20,26
Sinker,29,23.3
4-Seamer,17.4,18.1
Slider,28.6,22.2
Changeup,26.4,12.5
4-Seamer,26.6,20.8
Sinker,15,18.1
Changeup,25.8,15.3
Slider,30.1,29.2
Slider,35.3,37.5
Slider,33.3,22.2
Changeup,24,19.4
Sinker,25.8,15.3
Sinker,20.8,18.1
Changeup,29.6,28.2
Slider,28.1,25.4
4-Seamer,30.5,35.2
Sinker,29.4,14.1
Slider,30.4,32.4
Changeup,32.8,31.4
Curveball,37.1,38.6
4-Seamer,25,24.3
Sinker,17.2,21.4
Cutter,19.6,11.4
4-Seamer,23.2,22.9
4-Seamer,17.6,23.2
4-Seamer,20.3,17.4
Changeup,45.8,37.7
4-Seamer,8.1,10.1
Slider,44.3,37.7
4-Seamer,19.6,17.4
4-Seamer,31,34.8
4-Seamer,17.4,10.1
Slider,22,18.8
Slider,35.4,34.8
Changeup,29.7,24.6
Slider,28,24.6
Slider,34.1,29
Changeup,36.3,34.8
